filename,title,subtitle,illustration
01-01_Jacquouille_et_la_bagnole,Jacquouille et la bagnole,Un taureau facétieux,01-01_Jacquouille_et_la_bagnole.jpg
01-02_Jacquouille_en_goguette,Jacquouille en goguette,Un taureau amoureux,01-02_Jacquouille_en_goguette.jpg
01-03_Un_matou_tres_fute,Un matou très futé,Accusation du chat,01-03_Un_matou_tres_fute.jpg
01-04_Le_matou_reveur,Le matou rêveur,Accident de somnanbule,01-04_Le_matou_reveur.jpg
01-05_Les_boeufs_inseparables,Les bœufs inséparables,Le ferrage des bovins,01-05_Les_boeufs_inseparables.jpg
01-06_Un_chat_extraordinaire,Un chat extraordinaire,,01-06_Un_chat_extraordinaire.jpg
01-07_Le_baudet_voyageur,Le baudet voyageur,Un âne laissé à l’abandon,01-07_Le_baudet_voyageur.jpg
01-08_Une_course_tragique,Une course tragique,Un lièvre aveuglé par un falot de bicyclette,01-08_Une_course_tragique.jpg
01-09_Mon_ami_Perdreau,Mon ami Perdreau,Mon premier chien de chasse,01-09_Mon_ami_Perdreau.jpg
01-10_Steeple_chase_canin,Steeple chase canin,Scène de rivalité animale chient-chat,01-10_Steeple_chase_canin.jpg
01-11_Le_bandit_campagnard,Le bandit campagnard,Chien errand amateur d’œufs et de lapins,01-11_Le_bandit_campagnard.jpg
01-12_L_ane_Zaget_de_la_Louise,L’âne Zaget de la Louise,L’âne taxi,01-12_L_ane_Zaget_de_la_Louise.jpg
01-13_Kamikaze_malgre_lui,Kamikaze malgré lui,Mort du vieux chat,01-13_Kamikaze_malgre_lui.jpg
01-14_Le_Casanova_du_Bos,Le Casanova du Bos,Zacot de la Louise,01-14_Le_Casanova_du_Bos.jpg
01-15_La_bulle_de_Vincennes,La bulle de Vincennes,,01-15_La_bulle_de_Vincennes.jpg
02-01_Saint_Augustin,Saint-Augustin,,02-01_Saint_Augustin.jpg
02-02_L_ecrasant_travail_de_la_ferme,L’écrasant travail de la ferme,,02-02_L_ecrasant_travail_de_la_ferme.jpg
02-03_Mysterieuse_disparition,Mystérieuse disparition,Disparition d’un seigneur,02-03_Mysterieuse_disparition.jpg
02-04_La_levade_du_Diable,La levade du diable,Conte médiéval,02-04_La_levade_du_Diable.jpg
02-05_Invite_suprise,"Noël, l’invité surprise",,02-05_Invite_suprise.jpg
02-06_Le_haricot_magique,Les coutillères et les péjaaos,Les haricots verts et les haricots blancs,02-06_Le_haricot_magique.jpg
03-01_Lingerie_fine_a_Orliac,Lingerie fine à Orliac,Expérimentation de sous-vêtements féminins,03-01_Lingerie_fine_a_Orliac.jpg
03-02_Les_socques_mysteres,Les socques mystères,Braconnage d’hiver,03-02_Les_socques_mysteres.jpg
03-03_Le_heros_deserteur,Le héros déserteur,L’armée des abeilles et le Techier et le curé,03-03_Le_heros_deserteur.jpg
03-04_Affaire_conclue,Affaire conclue,Un marché de dupes,03-04_Affaire_conclue.jpg
03-05_La_faux_baladeuse,La faux baladeuse,Un gamin calculateur,03-05_La_faux_baladeuse.jpg
03-06_Retour_de_foire_a_Tulle,Retour de foire à Tulle,Fatigue de cycliste,03-06_Retour_de_foire_a_Tulle.jpg
03-07_Le_civet_de_la_St_Laurent,Le civet de la Saint-Laurent,La coutume de l’arrière grand-père,03-07_Le_civet_de_la_St_Laurent.jpg
03-08_Retour_de_bal_a_Vimbelle,Retour de bal à Vimbelle,Mauvais chauffage,03-08_Retour_de_bal_a_Vimbelle.jpg
03-09_Le_sacrifice_du_cochon,Le sacrifice du cochon,Méconnaissance d’un métier,03-09_Le_sacrifice_du_cochon.jpg
03-10_Le_Milou,Le Milou et l’école,Un jeune écolier campagnard,03-10_Le_Milou.jpg
03-11_Double_meurtre_a_Orliac,Double meurtre à Orliac,Mauvaise mémoire,03-11_Double_meurtre_a_Orliac.jpg
03-12_Vraies_histoires_de_faux,Vraies histoires de faux,Mauvais choix d’un outil,03-12_Vraies_histoires_de_faux.jpg
03-13_Le_coq_republicain,Le coq républicain,Réveil intempestif,03-13_Le_coq_republicain.jpg
03-14_Le_chanvre_a_Orliac,Le chanvre à Orliac,Culture du chanvre et préparation nuptiale,03-14_Le_chanvre_a_Orliac.jpg
03-15_Le_lourd_marteau,Le lourd marteau,Variation du poids en fonction de la température,03-15_Le_lourd_marteau.jpg
03-16_La_disparition_du_lievre,La disparition du lièvre,,03-16_La_disparition_du_lievre.jpg
03-17_Self_service_a_Tulle,Self service à Tulle,Vol à l’étalage,03-17_Self_service_a_Tulle.jpg
03-18_Les_couquinades_du_Francois,Les couquinades du François,Aventures d’un joyeux compagnon,03-18_Les_couquinades_du_Francois.jpg
03-19_Le_danger_de_la_forge,Le danger de la forge,Accident mortel d’un volatile,03-19_Le_danger_de_la_forge.jpg
03-20_Une_personnalite_de_Neuvialle,Une personnalité de Neuvialle,,03-20_Une_personnalite_de_Neuvialle.jpg
03-21_Le_roti_royal,Le rôti royal,Une plaisanterie sur la crédulité d’un citadin,03-21_Le_roti_royal.jpg
03-22_Lous_itrandiers,Lous itrandiers,Récéption des migrants à Orliac,03-22_Lous_itrandiers.jpg
03-23_Une_action_regrettee,Une action regrettée,Vol de pompes à vélo de gendarmes,03-23_Une_action_regrettee.jpg
03-24_Un_regal_diabolique,Un régal diabolique,Cueuillette de champignons vénéneux,03-24_Un_regal_diabolique.jpg
03-25_Le_heros_fonctionnaire,Le héros fonctionnaire,Cantonnier sur les routes non goudronnées patois −> français,03-25_Le_heros_fonctionnaire.jpg
03-26_Un_esprit_gaulois,Un esprit gaulois,Un jeune homme déluré,03-26_Un_esprit_gaulois.jpg
03-27_Expedition_a_Tulle,Expédition à Tulle,Vente de bétail à la foire a Tulle,03-27_Expedition_a_Tulle.jpg
03-28_Aventure_de_la_Vimbelle,Aventures de la Vimbelle,Facéties de pécheurs de truites,03-28_Aventure_de_la_Vimbelle.jpg
03-29_La_musique_et_la_danse,La musique et la danse,"Amusement de la jeunesse campagnarde, rencontres",03-29_La_musique_et_la_danse.jpg
03-30_Un_destin_atypique,Un destin atypique,Changement de vie par croyance idéalogique,03-30_Un_destin_atypique.jpg
03-31_Les_deux_medecins,Les deux médecins,Avant les vétérinaires quicropos,03-31_Les_deux_medecins.jpg
03-32_Une_coutume_benie,Une coutume bénie,Couronne de pain blanc partagée à la messe,03-32_Une_coutume_benie.jpg
03-33_Les_truites_curieuses,Les truites curieuses,Pêche au lancer léger à la cuillère,03-33_Les_truites_curieuses.jpg
03-34_Une_disparition_inquietante,Une disparition inquiétante,Braconnage au filet la nuit,03-34_Une_disparition_inquietante.jpg
03-35_Les_cacaroux,Les cacaroux,Récolte des œufs à Pâques,03-35_Les_cacaroux.jpg
03-36_Les_armes_de_Zeus,Les armes de Zeus,Le tonnerre à la campagne,03-36_Les_armes_de_Zeus.jpg
03-37_Une_plaisanterie_de_mauvais_gout,Une plaisanterie de mauvais goût,Vol sur bicyclettes,03-37_Une_plaisanterie_de_mauvais_gout.jpg
03-39_Un_metier_de_corps,Un métier de corps et d’esprit,Conditionnement du cerveau,03-39_Un_metier_de_corps.jpg
03-41_Une_pluie_de_dragees,Une pluie de dragées,Imunisation sacrée,03-41_Une_pluie_de_dragees.jpg
03-42_Innocent_prevaricateur,Innocent prévaricateur,L’adjucation eau d'Orliac,03-42_Innocent_prevaricateur.jpg
03-43_Miracle_d_Orliac,Le miracle d’Orliac,Vélo du Jean,03-43_Miracle_d_Orliac.jpg
03-44_Le_Gavroche_de_la_promenade,Le Gavroche de la promenade,,03-44_Le_Gavroche_de_la_promenade.jpg
03-45_La_guerre_des_gaules,La guerre des Gaules a bien eu lieu,,03-45_La_guerre_des_gaules.jpg
03-46_Une_querelle_geologique,Une querelle géologique,,03-46_Une_querelle_geologique.jpg
03-47_Une_sieste_terrifiante,Une sieste terrifiante,,03-47_Une_sieste_terrifiante.jpg
03-48_Pelerignage_iconoclaste,Pèlerinage iconoclaste,,03-48_Pelerignage_iconoclaste.jpg
03-50_La_bete_bouleversante,La bête bouleversante,,03-50_La_bete_bouleversante.jpg
03-51_Un_pecheur_exceptionnel,Un pêcheur exceptionnel,,03-51_Un_pecheur_exceptionnel.jpg
03-53_Histoire_de_chous_sabots,"Histoire de chous, sabots",,03-53_Histoire_de_chous_sabots.jpg
r01e_Le_blaspheme,Le blasphème,Une bêtise de petit garçon (10 ans),r01e_Le_blaspheme.jpg
r02c_Defense_de_fumer,Défense de fumer,La ruse du Renard,r02c_Defense_de_fumer.jpg
r04c_Le_petit_Faurichou,Le petit Faurichou,,r04c_Le_petit_Faurichou.jpg
r04d_Un_ami_bienveillant,Un ami bienveillant,Un cafardage idiot,r04d_Un_ami_bienveillant.jpg
r04e_La_conscription,La conscription,,r04e_La_conscription.jpg
r05e_Lecon_de_choses,Leçons de choses,,r05e_Lecon_de_choses.jpg
r06e_Ex_animaux_de_compagnie,Ex animaux de compagnie,,r06e_Ex_animaux_de_compagnie.jpg
r06h_Chenes_moussus,Les chênes moussus,,r06h_Chenes_moussus.jpg
r07c_Ma_perruque_a_la_manu,Ma perruque à la Manu,,r07c_Ma_perruque_a_la_manu.jpg
r07d_Safari_a_l_itrandier,Safari à l’étranger,,r07d_Safari_a_l_itrandier.jpg
r07e_Deception_canine,Déception canine,,r07e_Deception_canine.jpg
r07h_Une_peur_bleue,Une peur bleue,,r07h_Une_peur_bleue.jpg
r08a_Expedition_Montagnarot,L’expédition montagnarde,,r08a_Expedition_Montagnarot.jpg
r08d_Apprentissage_militaire,Apprentissage militaire,,r08d_Apprentissage_militaire.jpg
r08f_La_Rochelle_classe,La Rochelle – classes,,r08f_La_Rochelle_classe.jpg
r08h_Tanais_Peloton,"Tanaïs, deuxième peloton",,r08h_Tanais_Peloton.jpg
r09a_Vie_militaire,Vie militaire – 12 mois,,r09a_Vie_militaire.jpg
r09d_Un_client_perdu,,,r09d_Un_client_perdu.jpg
r09g_Permis_de_conduire,Le permis de conduire,,r09g_Permis_de_conduire.jpg
r09h_Animaux_curieux,,,r09h_Animaux_curieux.jpg
r10b_Surprise_surprise,"Suprise, surprise",,r10b_Surprise_surprise.jpg
r10d_Petiotabestu_Pire_bourre_Zantia_pao,,,r10d_Petiotabestu_Pire_bourre_Zantia_pao.jpg
r10h_Une_guerre_terrifiante,Une guerre terrifiante,,r10h_Une_guerre_terrifiante.jpg
r11b_Apprentissage_tres_bref,Un apprentissage très bref,,r11b_Apprentissage_tres_bref.jpg
r11d_Danger_de_la_langue_francaise,Les dangers de la langue française,,r11d_Danger_de_la_langue_francaise.jpg
r11e_Etude_brulante,Une étude brûlante,,r11e_Etude_brulante.jpg
r11h_Cadeau_peu_couteux,Un cadeau peu coûteux,,r11h_Cadeau_peu_couteux.jpg
r12b_Lecon_d_ethnologie_comparee,Leçon d’ethnologie comparée,,r12b_Lecon_d_ethnologie_comparee.jpg
r12f_Visite_chez_la_Toinette,Visite chez la Toinette,,r12f_Visite_chez_la_Toinette.jpg
r12g_Mon_ami_le_meunier_tres_fute,Mon ami le meunier très futé,,r12g_Mon_ami_le_meunier_tres_fute.jpg
r13a_La_Tctluste_bagarre,La tchuste,La bagarre,r13a_La_Tctluste_bagarre.jpg
r13b_Plongeon_intempestif,Un plongeon intempestif,,r13b_Plongeon_intempestif.jpg
r13c_Lecon_de_greffage,Leçon de greffage,,r13c_Lecon_de_greffage.jpg
r13e_Pari_stupide,Un pari stupide,,r13e_Pari_stupide.jpg
r13f_Ballon_sauveteur,Le ballon sauveteur,,r13f_Ballon_sauveteur.jpg
r13g_Raid_sur_la_capitale,Un raid sur la capitale : Paris,,r13g_Raid_sur_la_capitale.jpg
r14d_La_peur_gauloise_du_ciel_tombant_sur_leur_tete,La peur gauloise du ciel tombant sur la tête,,r14d_La_peur_gauloise_du_ciel_tombant_sur_leur_tete.jpg
s01_La_truite_grossissante,La truite grossissante,,s01_La_truite_grossissante.jpg
s02_Le_grand_saut,Le grand saut,,s02_Le_grand_saut.jpg
s03_Le_patois_chez_nous,Le patois chez nous,,s03_Le_patois_chez_nous.jpg